geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
mmu04612	Antigen processing and presentation	http://www.kegg.jp/kegg-bin/show_pathway?mmu04612+14972+14964+12010+15015+15039+14828+15018+21354+19141+14827+12317+19188+12330	0.6564830273150495	2.2997332555727903	0	0.003012476451142786	19	./Project_wg_result1663453357_GSEA/mmu04612.png	13	14972;14964;12010;15015;15039;14828;15018;21354;19141;14827;12317;19188;12330	B2m;Calr;Canx;H2-D1;H2-K1;H2-Q4;H2-Q7;H2-T22;Hspa5;Lgmn;Pdia3;Psme2;Tap1
mmu05416	Viral myocarditis	http://www.kegg.jp/kegg-bin/show_pathway?mmu05416+14972+15894+14964+12443+15015+15039+15018	0.7231852804220192	2.197251887972576	0	0.0033471960568253177	12	./Project_wg_result1663453357_GSEA/mmu05416.png	7	14972;15894;14964;12443;15015;15039;15018	Ccnd1;H2-D1;H2-K1;H2-Q4;H2-Q7;H2-T22;Icam1
mmu04145	Phagosome	http://www.kegg.jp/kegg-bin/show_pathway?mmu04145+14972+14964+15015+12475+67951+22146+15039+15018+21354+20335+66212+12317+13057+12330+11461+110557+21355	0.5787280194036166	2.202181352748404	0	0.003514555859666584	25	./Project_wg_result1663453357_GSEA/mmu04145.png	17	14972;14964;15015;12475;67951;22146;15039;15018;21354;20335;66212;12317;13057;12330;11461;110557;21355	Actb;Calr;Canx;Cd14;Cyba;H2-D1;H2-K1;H2-Q4;H2-Q6;H2-Q7;H2-T22;Sec61b;Sec61g;Tap1;Tap2;Tuba1c;Tubb6
mmu04514	Cell adhesion molecules (CAMs)	http://www.kegg.jp/kegg-bin/show_pathway?mmu04514+22329+14972+15894+14964+15015+15039+15018+18613+12490+19294	0.6484078401711272	2.157638395305397	0.0016339869254346619	0.00652703231080937	16	./Project_wg_result1663453357_GSEA/mmu04514.png	10	22329;14972;15894;14964;15015;15039;15018;18613;12490;19294	Cd34;H2-D1;H2-K1;H2-Q4;H2-Q7;H2-T22;Icam1;Nectin2;Pecam1;Vcam1
mmu05170	Human immunodeficiency virus 1 infection	http://www.kegg.jp/kegg-bin/show_pathway?mmu05170+14972+14964+12010+14710+15015+15039+14678+15018+21354+12631+14827+12317+12315+21937	0.5236558415996689	2.1052636586605447	0	0.009840756407066435	31	./Project_wg_result1663453357_GSEA/mmu05170.png	14	14972;14964;12010;14710;15015;15039;14678;15018;21354;12631;14827;12317;12315;21937	B2m;Calm3;Calr;Cfl1;Gnai2;Gngt2;H2-D1;H2-K1;H2-Q4;H2-Q7;H2-T22;Pdia3;Tap1;Tnfrsf1a
mmu05166	Human T-cell leukemia virus 1 infection	http://www.kegg.jp/kegg-bin/show_pathway?mmu05166+22329+14972+15894+14964+16186+12443+15015+15039+12257+15018+12317+21937+12330+19698+21803+19384+22433+18034+110557+16453	0.5022222668421856	2.083414990628752	0	0.013221424424460004	34	./Project_wg_result1663453357_GSEA/mmu05166.png	20	22329;14972;15894;14964;16186;12443;15015;15039;12257;15018;12317;21937;12330;19698;21803;19384;22433;18034;110557;16453	Calr;Canx;Ccnd1;H2-D1;H2-K1;H2-Q4;H2-Q6;H2-Q7;H2-T22;Icam1;Il2rg;Jak3;Nfkb2;Ran;Relb;Tgfb1;Tnfrsf1a;Tspo;Vcam1;Xbp1
mmu05320	Autoimmune thyroid disease	http://www.kegg.jp/kegg-bin/show_pathway?mmu05320+14972+14964+15015+15039+15018	0.7778357110578118	2.0202675932744314	0.0017064846387261354	0.014058223438666334	7	./Project_wg_result1663453357_GSEA/mmu05320.png	5	14972;14964;15015;15039;15018	H2-D1;H2-K1;H2-Q4;H2-Q7;H2-T22
mmu05330	Allograft rejection	http://www.kegg.jp/kegg-bin/show_pathway?mmu05330+14972+14964+15015+15039+15018	0.7778357110578118	2.0202675932744314	0.0017064846387261354	0.014058223438666334	7	./Project_wg_result1663453357_GSEA/mmu05330.png	5	14972;14964;15015;15039;15018	H2-D1;H2-K1;H2-Q4;H2-Q7;H2-T22
mmu05332	Graft-versus-host disease	http://www.kegg.jp/kegg-bin/show_pathway?mmu05332+14972+14964+15015+15039+15018	0.7778357110578118	2.0202675932744314	0.0017064846387261354	0.014058223438666334	7	./Project_wg_result1663453357_GSEA/mmu05332.png	5	14972;14964;15015;15039;15018	H2-D1;H2-K1;H2-Q4;H2-Q7;H2-T22
mmu05167	Kaposi sarcoma-associated herpesvirus infection	http://www.kegg.jp/kegg-bin/show_pathway?mmu05167+14972+15894+14964+14825+14710+12443+15015+19225+15039+15018+12315+15251+21937	0.5067734584598231	2.0513730076380714	0.0015243902415786733	0.01577963855360507	32	./Project_wg_result1663453357_GSEA/mmu05167.png	13	14972;15894;14964;14825;14710;12443;15015;19225;15039;15018;12315;15251;21937	Calm3;Ccnd1;Cxcl1;Gngt2;H2-D1;H2-K1;H2-Q4;H2-Q7;H2-T22;Hif1a;Icam1;Ptgs2;Tnfrsf1a
