userId	geneSymbol	geneName	entrezgene	score	gLink
1110008P14Rik	1110008P14Rik	RIKEN cDNA 1110008P14 gene	73737	0.485386558	https://www.ncbi.nlm.nih.gov/gene/?term=73737
1810026B05Rik	1810026B05Rik	RIKEN cDNA 1810026B05 gene	69170	-0.580290355	https://www.ncbi.nlm.nih.gov/gene/?term=69170
2200002D01Rik	2200002D01Rik	RIKEN cDNA 2200002D01 gene	72275	0.867399722	https://www.ncbi.nlm.nih.gov/gene/?term=72275
4931406P16Rik	4931406P16Rik	RIKEN cDNA 4931406P16 gene	233103	-0.450934816	https://www.ncbi.nlm.nih.gov/gene/?term=233103
9530026P05Rik	9530026P05Rik	RIKEN cDNA 9530026P05 gene	330385	-0.521738407	https://www.ncbi.nlm.nih.gov/gene/?term=330385
AA467197	AA467197	expressed sequence AA467197	433470	0.513623874	https://www.ncbi.nlm.nih.gov/gene/?term=433470
AW112010	AW112010	expressed sequence AW112010	107350	0.554793042	https://www.ncbi.nlm.nih.gov/gene/?term=107350
AY036118	AY036118	cDNA sequence AY036118	101056014	-0.370533022	https://www.ncbi.nlm.nih.gov/gene/?term=101056014
Abcb1a	Abcb1a	ATP-binding cassette, sub-family B (MDR/TAP), member 1A	18671	-0.501240041	https://www.ncbi.nlm.nih.gov/gene/?term=18671
Abcg2	Abcg2	ATP binding cassette subfamily G member 2 (Junior blood group)	26357	-0.548124063	https://www.ncbi.nlm.nih.gov/gene/?term=26357
Abhd17c	Abhd17c	abhydrolase domain containing 17C	70178	0.256054799	https://www.ncbi.nlm.nih.gov/gene/?term=70178
Abhd2	Abhd2	abhydrolase domain containing 2	54608	0.285165321	https://www.ncbi.nlm.nih.gov/gene/?term=54608
Abi3	Abi3	ABI gene family, member 3	66610	0.580908952	https://www.ncbi.nlm.nih.gov/gene/?term=66610
Ablim1	Ablim1	actin-binding LIM protein 1	226251	-0.881039419	https://www.ncbi.nlm.nih.gov/gene/?term=226251
Abracl	Abracl	ABRA C-terminal like	73112	0.274518266	https://www.ncbi.nlm.nih.gov/gene/?term=73112
Acacb	Acacb	acetyl-Coenzyme A carboxylase beta	100705	-0.309210062	https://www.ncbi.nlm.nih.gov/gene/?term=100705
Ackr1	Ackr1	atypical chemokine receptor 1 (Duffy blood group)	13349	2.937961096	https://www.ncbi.nlm.nih.gov/gene/?term=13349
Ackr3	Ackr3	atypical chemokine receptor 3	12778	-1.20644085	https://www.ncbi.nlm.nih.gov/gene/?term=12778
Acsl5	Acsl5	acyl-CoA synthetase long-chain family member 5	433256	0.312821034	https://www.ncbi.nlm.nih.gov/gene/?term=433256
Actb	Actb	actin, beta	11461	0.470843922	https://www.ncbi.nlm.nih.gov/gene/?term=11461
Actg1	Actg1	actin, gamma, cytoplasmic 1	11465	0.321161457	https://www.ncbi.nlm.nih.gov/gene/?term=11465
Actn1	Actn1	actinin, alpha 1	109711	0.745598989	https://www.ncbi.nlm.nih.gov/gene/?term=109711
Actr3	Actr3	ARP3 actin-related protein 3	74117	0.546556061	https://www.ncbi.nlm.nih.gov/gene/?term=74117
Adam15	Adam15	a disintegrin and metallopeptidase domain 15 (metargidin)	11490	0.53265007	https://www.ncbi.nlm.nih.gov/gene/?term=11490
Adamts1	Adamts1	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1	11504	1.006851705	https://www.ncbi.nlm.nih.gov/gene/?term=11504
Adamts10	Adamts10	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 10	224697	-0.506547188	https://www.ncbi.nlm.nih.gov/gene/?term=224697
Adamts9	Adamts9	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9	101401	1.173020537	https://www.ncbi.nlm.nih.gov/gene/?term=101401
Adgre5	Adgre5	adhesion G protein-coupled receptor E5	26364	-0.492311488	https://www.ncbi.nlm.nih.gov/gene/?term=26364
Adgrf5	Adgrf5	adhesion G protein-coupled receptor F5	224792	-0.375835662	https://www.ncbi.nlm.nih.gov/gene/?term=224792
Adm	Adm	adrenomedullin	11535	1.025758454	https://www.ncbi.nlm.nih.gov/gene/?term=11535
Afap1l2	Afap1l2	actin filament associated protein 1-like 2	226250	-0.460077639	https://www.ncbi.nlm.nih.gov/gene/?term=226250
Ahnak	Ahnak	AHNAK nucleoprotein (desmoyokin)	66395	0.305485279	https://www.ncbi.nlm.nih.gov/gene/?term=66395
Aig1	Aig1	androgen-induced 1	66253	0.494640051	https://www.ncbi.nlm.nih.gov/gene/?term=66253
Akr1c14	Akr1c14	aldo-keto reductase family 1, member C14	105387	-0.559158531	https://www.ncbi.nlm.nih.gov/gene/?term=105387
Aldh2	Aldh2	aldehyde dehydrogenase 2, mitochondrial	11669	-0.557174584	https://www.ncbi.nlm.nih.gov/gene/?term=11669
Aldh4a1	Aldh4a1	aldehyde dehydrogenase 4 family, member A1	212647	-0.427306383	https://www.ncbi.nlm.nih.gov/gene/?term=212647
Aldoa	Aldoa	aldolase A, fructose-bisphosphate	11674	0.495723115	https://www.ncbi.nlm.nih.gov/gene/?term=11674
Alpl	Alpl	alkaline phosphatase, liver/bone/kidney	11647	-1.017602086	https://www.ncbi.nlm.nih.gov/gene/?term=11647
